Unnamed: 0,Country Code,Country Name,Year,Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),Agriculture,Capital depreciation rate,Clientelism index,"Death rates, crude per 1000 people",Domestic credit to private sector (% of GDP),Economic Complexity Index,"GDP per capita (constant prices, PPP)",Government revenue,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Human capital index,Industry,"Inflation, consumer prices (annual %)",Landlocked,Lending interest rate (%),"Life expectancy at birth, total (years)",Manufacturing,Mineral rents (% of GDP),Mobile cellular subscriptions (per 100 people),Natural gas rents (% of GDP),Oil rents (% of GDP),Political corruption index,Political stability — estimate,"Primary net lending, General government, Percent of GDP",Property rights,Real interest rate (%),Rule of law index,Services,Share of consumption in GDP,Share of government spending in GDP,Share of investment in GDP,Total natural resources rents (% of GDP),Trade (% of GDP),Urban population (% of total population),"Use of IMF credit (DOD, current US$)",Total_Production,Total_Reserves,Total_Production_Value,Total_Reserves_Value,Hydrocarbons_Dominant,Subsoil_Metals_Dominant,Precious_Metals_Dominant,Population,Total_Production_Value_Per_Capita,Total_Production_Per_Capita,Total_Reserves_Value_Per_Capita,GDP_total,Total_Production_Value_GDP_Norm,Total_Production_GDP_Norm,Resource_Category,Economic Complexity Index_lag1,Total_Production_Value_lag1,Total_Production_lag1,Oil rents (% of GDP)_lag1,Natural gas rents (% of GDP)_lag1,Mineral rents (% of GDP)_lag1,Total natural resources rents (% of GDP)_lag1,"GDP per capita (constant prices, PPP)_lag1",Cluster_Value,Cluster_Quantity
24,AGO,Angola,2019,45.6,35.28579693,12.39115857,0.045704171,0.686,7.701,13.4718249,-1.204,6596.756000000001,21.179,17.659968420123565,1.481984377,42.22510451,17.08095414,0,19.29536721,63.051,5.442240339,0.0,45.8065,0.814083851,27.50482864,0.602,-0.37,5.674452636,0.387,-0.475965539,0.325,43.8627207,0.475599736,0.169428974,0.180379093,28.897859059999995,60.71482433,21582821.0,1861295680.0,518437419.6,2840795.0,14632198138.751793,80174009.56260835,1,0,0,32375632.0,451.9509654283133,16.013198432697777,2.476368942005776,213574144649.79205,0.06851109324466649,0.0024274353080055975,Hydrocarbons,-1.505,17793065833.124817,554517503.4,30.73040272999999,0.745542432,0.0,32.0454056,6872.841,1,3
49,ALB,Albania,2019,100.0,14.58753025,18.16039737,0.028646111,0.706,7.473,33.72559551,-0.558,13862.629999999996,27.209,19.4358083,2.989798784,22.96552109,1.4110907899999994,0,6.275833333,79.467,6.967485863,0.036388555,91.1635,0.0273614,1.4243710960000002,0.689,0.1099999999999999,0.13147389,0.847,5.222938044,0.564,45.45341143,0.713314295,0.204313785,0.216408357,1.6349737849999988,75.38212893,1457584.0,447707759.2,34551.0,0.0,15075344.67837911,0.0,0,1,0,2567801.0,5.870916273643911,0.013455481947393898,0.0,35596475176.62999,0.00042350667035359905,9.706298117596663e-07,Industrial Minerals,-0.53,16125438.14,100601.0,1.4698338190000002,0.0224586159999999,0.040868827,1.711116281000001,13570.554,0,0
74,ARE,United Arab Emirates,2019,100.0,33.62836458099331,0.7346287700000005,0.03722471,0.448,0.9580000000000002,75.28849883,0.3329999999999999,69576.041,31.039,25.70285987,3.238971949,43.46696837,-1.931081148,0,6.139034049491222,82.596,8.84290478,0.0,209.033,1.214183775,15.68159155,0.1159999999999999,0.667,2.779517798,0.373,2.0976576080758624,0.708,55.79840286,0.359403789,0.106675886,0.312234104,16.895899,163.8221529,8031735.0,0.0,3323887013.0,5769638379.0,48088621098.951935,11481878743.998356,1,0,0,9445785.0,5091.013727175871,351.8910300202683,1215.5558001794827,657200324437.1849,0.07317193755212188,0.005057646640461597,Hydrocarbons,0.3429999999999999,54956569614.21297,3037795372.0,17.0989945,1.087598226,0.0,18.18668249,69819.141,4,4
99,ARG,Argentina,2019,100.0,14.25056027,5.318555997,0.03882077,0.436,7.676,14.47762924,-0.203,22071.752,33.684,9.67256989,3.09680438,23.15784774,53.54830435,0,67.25416667,76.847,13.54083907,0.1872970659999999,125.303,0.52355934,1.2909956549999997,0.409,-0.098,-0.406549349,0.913,12.10396965,0.651,55.43881711,0.644113064,0.227895752,0.111911573,2.1666883870000007,32.63061505,41311179.0,46924457621.0,1709712190.0,373178494.7,12626833125.532137,705619778.8969607,1,0,0,44973465.0,280.7618475812824,38.016021002606756,15.689691218965688,992643166060.68,0.012720415107114394,0.0017223834792365715,Hydrocarbons,-0.232,13995986489.734344,1586811559.0,1.3109534069999995,0.401322115,0.1825671639999999,2.037125135000001,22747.258,0,0
124,ARM,Armenia,2019,100.0,9.828463023,11.52561074,0.03263529,0.2159999999999999,8.8,60.15523792,-0.124,13637.865,23.925,8.610367588,3.145183325,24.97160846,1.4434466080000004,1,12.14198895,76.22195122,11.71149186,1.94779106,124.614,0.0,0.0,0.294,-0.42,1.430538825,0.939,10.95957856,0.779,53.9731853,0.734821558,0.19966054,0.122703671,2.201001669,97.84700487,1925764.0,374965602.2,104636.15,0.0,568672300.0,0.0,0,1,0,2962500.0,191.95689451476792,0.0353202194092827,0.0,40402175062.5,0.014075289241737466,2.5898642792902482e-06,Industrial Minerals,-0.313,474096420.0,82682.908,0.0,0.0,0.826353695,1.0986611360000014,12644.049,0,0
149,AUS,Australia,2019,100.0,23.15899456,2.124249112,0.032651324,0.073,6.7,135.6667144,-0.377,50474.874,34.457,23.20977492,3.549666166,25.25551291,1.6107678730000003,0,5.101000000000001,82.9,5.451709172999999,3.3174818099999994,109.753,1.338692137,0.2291994480000001,0.032,0.917,-3.586707226,0.887,1.5698232069999998,0.99,66.04756072,0.491202623,0.193046436,0.224974319,5.748861265,46.00168271,22117801.0,0.0,5864133839.248037,2308068134.0,57808928600.52729,4239271609.4211216,1,0,0,25334826.0,2281.796946248113,231.4653291578966,167.32980954442402,1278772150161.924,0.04520659023830575,0.004585753481185443,Hydrocarbons,-0.345,69252500624.0,5150096203.633949,0.2647446719999999,1.126812914,2.861055972,5.227520639,50312.983,4,4
174,AUT,Austria,2019,100.0,27.91980963,1.044634137000001,0.043054093,0.097,9.4,86.30279436,1.737,56239.228,49.242,24.55721314023093,3.381046295,25.5363771,1.530895641999999,1,3.651744040944594,81.89512195,17.10228587,0.0,120.776,0.0126697669999999,0.036825509,0.076,0.8920000000000001,1.711469199,0.863,2.0514785742497272,0.955,62.56140778,0.492908478,0.179344118,0.32089144,0.1100229129999998,108.2072849,6066549.0,0.0,538370.3703703703,0.0,251903426.30814812,0.0,0,1,0,8879920.0,28.367758528021437,0.06062784015738547,0.0,499399845501.76,0.0005044123032418126,1.078034715508283e-06,Industrial Minerals,1.738,336497742.90000004,816333.3333333334,0.042658846,0.019891769,0.0,0.1407550729999993,55274.189,2,1
199,AZE,Azerbaijan,2019,100.0,29.71831879,5.69538025,0.061025657,0.873,5.6,23.00186901,-0.827,14541.29,41.475,12.42379993,3.351673290070797,48.82326653,2.610571827999999,1,17.28121517,73.29,5.003528857000001,0.17409348,106.328,2.783335214,20.4577105,0.9240000000000002,-0.693,9.647879535,0.64,17.54174974,0.039,36.97253352,0.607865095,0.176496595,0.136828944,23.43490541,85.81814541,5827198.0,212368821.70000005,1110521708.0,2419874944.0,9546443752.0,4487924998.221698,1,0,0,10024283.0,952.3318278224987,110.78315606213432,447.70533695244814,145766006145.07,0.06549156421627644,0.007618523257711958,Hydrocarbons,-1.236,11389312839.792109,938285509.019,24.17241001,3.27586234,0.1527761949999999,27.62093201,14265.254,1,3
224,BFA,Burkina Faso,2019,17.6,17.80406272,18.22052455,0.057725776,0.612,8.564,28.34785789,-0.884,2104.873,20.038,18.94730298,1.286242485,27.42591338,-3.23338934,1,6.688333333000001,60.184,10.41059839,3.438234607,97.1499,0.0,0.0,0.453,-1.302,-2.145029181,0.758,6.143920617,0.693,45.31625215,0.694175065,0.18333602,0.152969122,8.327973185,60.40869288,5474995.0,309646453.0,95670.2,0.0,1642729450.0,0.0,0,0,1,20961952.0,78.36719834107052,0.004563992895318146,0.0,44122246792.096,0.037231319106221857,2.1682984651891805e-06,Precious Metals,-1.014,1604728240.0,99222.898,0.0,0.0,3.652481458,8.876195944,2050.084999999999,0,0
249,BGD,Bangladesh,2019,92.2,34.92299947,11.97532314,0.041132402,0.6,5.372,39.03447094,-1.18,5815.383,8.144000000000002,24.9882671,2.101790428,32.8525492,5.591996399,0,9.555833333,72.625,21.20794388,0.0,100.4,0.516998313,0.0401609169999996,0.901,-0.929,-3.713819491,0.797,5.689563715,0.1029999999999999,50.84928874,0.704561174,0.064173646,0.275835454,0.6377175640000008,31.57805449,50830886.0,1413763540.0,879657759.2,106426327.3,1634541660.9113228,194413307.08607352,1,0,0,164913055.0,9.911535875139315,5.334069878215524,1.1788836674335668,959032576525.065,0.0017043651080486555,0.0009172344931048436,Hydrocarbons,-1.055,2923381268.9444914,924868966.0,0.0613027610000003,0.50178363,0.0,0.6492388229999992,5565.68,0,0
