feature,coefficient,abs_coef
toiletries bc,-2.8594507916476974,2.8594507916476974
feat_color1_black,-1.8994701128729257,1.8994701128729257
feat_color1_lavender,1.640079072630982,1.640079072630982
hair,1.3388838160261203,1.3388838160261203
drinks bc,-1.1058648641282427,1.1058648641282427
bc drinks,-1.1053628597361074,1.1053628597361074
drinks,-1.105112097300547,1.105112097300547
health,1.0689630566911792,1.0689630566911792
gel,-1.0371028499902817,1.0371028499902817
bc toiletries,-0.9564942275958388,0.9564942275958388
protection,0.9049028599126028,0.9049028599126028
toiletries,-0.8838318883123015,0.8838318883123015
feat_color1_navy,-0.8633476353765067,0.8633476353765067
shower,-0.8309233061703186,0.8309233061703186
feat_color1_silver,0.8017387920761547,0.8017387920761547
feat_color2_lavender,0.7896856113827516,0.7896856113827516
store_1,0.7761121437947202,0.7761121437947202
br,0.750215157495286,0.750215157495286
soft,0.7440970298196503,0.7440970298196503
feat_color1_pink,0.7142490109659518,0.7142490109659518
moisture,0.7081958755810579,0.7081958755810579
smooth,0.6817517169924276,0.6817517169924276
gel,-0.6385831764502837,0.6385831764502837
feat_color1_dark_green,-0.6292644914455802,0.6292644914455802
bc health,0.5794019531567144,0.5794019531567144
deodorant,-0.5759164569374808,0.5759164569374808
fit,0.5651143721655187,0.5651143721655187
skin,0.5637030322823475,0.5637030322823475
beauty,0.5490991461534405,0.5490991461534405
feat_color1_brown,-0.5475083466619434,0.5475083466619434
notes,-0.500779655576902,0.500779655576902
feat_color2_brown,-0.46987842202456126,0.46987842202456126
shower,-0.4518361021144438,0.4518361021144438
beauty bc,0.42532476473806063,0.42532476473806063
fresh,-0.41317486435076484,0.41317486435076484
body,0.39935931108200234,0.39935931108200234
face,-0.3965227671577942,0.3965227671577942
wine,-0.39452543790001776,0.39452543790001776
bc wine,-0.39452543790001776,0.39452543790001776
bc cat,0.3934822962495443,0.3934822962495443
cat,0.3934822962495443,0.3934822962495443
feat_color2_pink,0.3910775137282347,0.3910775137282347
night,0.3724270574383816,0.3724270574383816
bc deodorants,-0.3685556837692769,0.3685556837692769
deodorants,-0.3667304342118846,0.3667304342118846
care,-0.36632869769328946,0.36632869769328946
dog,0.3626769783770305,0.3626769783770305
bc dog,0.3626769783770305,0.3626769783770305
wine,-0.3499641232254069,0.3499641232254069
bc shower,-0.3496895933461156,0.3496895933461156
treats,0.3257923265176406,0.3257923265176406
toiletries beauty,0.3209774492376492,0.3209774492376492
wash,-0.31767845659178134,0.31767845659178134
milk,-0.3113650619059908,0.3113650619059908
feat_color2_tan,0.30685453169348725,0.30685453169348725
years,-0.3057930433476605,0.3057930433476605
bc pet,0.3026584000211163,0.3026584000211163
fish,0.30252870352921707,0.30252870352921707
pet,0.3023472046009344,0.3023472046009344
bc household,0.3003606544366528,0.3003606544366528
household,0.29863524314568474,0.29863524314568474
bc fish,0.296674513450983,0.296674513450983
clean,-0.29392018932835323,0.29392018932835323
feel,0.28745452416483525,0.28745452416483525
feat_color1_teal,-0.2830945741616547,0.2830945741616547
feat_color2_black,-0.27924774238153777,0.27924774238153777
fish,0.2753042819618756,0.2753042819618756
feat_color1_sky_blue,0.2724103749442411,0.2724103749442411
ice,-0.2713984297190925,0.2713984297190925
entertainment,0.2681429949449742,0.2681429949449742
entertainment bc,0.2681429949449742,0.2681429949449742
toys entertainment,0.2681429949449742,0.2681429949449742
household bc,0.26584756770322326,0.26584756770322326
toys bc,-0.2639008679139999,0.2639008679139999
feat_color1_hot_pink,0.2620020840760979,0.2620020840760979
cleaners,-0.2615259406567437,0.2615259406567437
scent,-0.2578167538830691,0.2578167538830691
chocolate sweets,-0.2566322772858878,0.2566322772858878
sweets bc,-0.24685530029526578,0.24685530029526578
sweets,-0.24685530029526578,0.24685530029526578
shop,0.24541071559712005,0.24541071559712005
taste,-0.24417487863669415,0.24417487863669415
super,0.2415535191819626,0.2415535191819626
feeling,-0.24144770099368237,0.24144770099368237
sprays,0.24129154846899661,0.24129154846899661
spirits liqueurs,-0.241191469376212,0.241191469376212
spirits,-0.241191469376212,0.241191469376212
liqueurs,-0.241191469376212,0.241191469376212
bc spirits,-0.241191469376212,0.241191469376212
essentials,0.2409721996229625,0.2409721996229625
touch,0.2401287462495531,0.2401287462495531
feat_color1_salmon,0.23773598368117893,0.23773598368117893
feat_color3_gray,-0.23195017437665325,0.23195017437665325
best,-0.23161826676524414,0.23161826676524414
original,-0.23092751534027317,0.23092751534027317
world,-0.22880479520721517,0.22880479520721517
pack,0.2275359723260506,0.2275359723260506
daily,0.22753500780083002,0.22753500780083002
ultra,0.22681687011054527,0.22681687011054527
ice cream,-0.22640683460576064,0.22640683460576064
bc ice,-0.22587826601627956,0.22587826601627956
feat_color1_purple,0.22300805588648528,0.22300805588648528
design,0.22197975795051017,0.22197975795051017
fish seafood,0.21929544146597504,0.21929544146597504
seafood,0.21929544146597504,0.21929544146597504
designed,0.21861302510680253,0.21861302510680253
tested,0.21389442316233637,0.21389442316233637
chocolate,-0.21243729735887393,0.21243729735887393
bc beauty,0.20939026088741863,0.20939026088741863
health beauty,0.20936184509081793,0.20936184509081793
open,-0.20871473259519235,0.20871473259519235
bc chocolate,-0.20740952249480063,0.20740952249480063
feat_color2_teal,-0.2066531390572976,0.2066531390572976
ice,-0.2051241655609744,0.2051241655609744
bc baby,-0.20376012604675559,0.20376012604675559
feat_color2_sky_blue,0.20179571452800665,0.20179571452800665
feat_color3_lavender,0.19891998274701247,0.19891998274701247
skincare bc,-0.1981028113052447,0.1981028113052447
just,-0.19527545365154292,0.19527545365154292
fruit,-0.19408548479043464,0.19408548479043464
feat_color1_tan,0.19086140057101209,0.19086140057101209
hand,0.18948359547331553,0.18948359547331553
feat_color3_tan,0.18923665885519253,0.18923665885519253
days,0.18803332833439268,0.18803332833439268
medicines,0.18800611089494537,0.18800611089494537
medicines bc,0.18800611089494537,0.18800611089494537
health wellbeing,0.18800611089494537,0.18800611089494537
wellbeing medicines,0.18800611089494537,0.18800611089494537
healthcare,0.1841854561687413,0.1841854561687413
wash,-0.18149963945888403,0.18149963945888403
great,-0.18088637357475718,0.18088637357475718
skincare,-0.17855354965422307,0.17855354965422307
pants,0.17813039314064047,0.17813039314064047
bc body,0.1750179313171625,0.1750179313171625
away,0.17427528292254965,0.17427528292254965
toilet,0.17052972528946456,0.17052972528946456
hair,0.16864806093095477,0.16864806093095477
bath body,0.16674119957691733,0.16674119957691733
cosmetics,0.16674119957691733,0.16674119957691733
cosmetics bc,0.16674119957691733,0.16674119957691733
beauty cosmetics,0.16674119957691733,0.16674119957691733
games,-0.1651235852899669,0.1651235852899669
provide,0.1641304324280824,0.1641304324280824
feat_color2_hot_pink,0.16373293328527042,0.16373293328527042
bars,-0.16295918265558,0.16295918265558
rich,-0.1621304007173401,0.1621304007173401
feat_color2_royal_blue,-0.15848736806318353,0.15848736806318353
flavours,-0.15740497103030174,0.15740497103030174
good,-0.15699191268544493,0.15699191268544493
gift,-0.1560818728931785,0.1560818728931785
spray,-0.15530597847421576,0.15530597847421576
week,0.15501829354733282,0.15501829354733282
wipes,-0.15429208664741403,0.15429208664741403
sure,0.15238389966138507,0.15238389966138507
flavour,-0.15202111637760934,0.15202111637760934
origin,-0.15197309590859584,0.15197309590859584
feat_color1_royal_blue,0.15145433669660519,0.15145433669660519
enjoy,-0.1490072147242305,0.1490072147242305
style,-0.14622935524298528,0.14622935524298528
freshness,-0.1457202570737548,0.1457202570737548
results,0.14417183455909924,0.14417183455909924
fabric,0.14412949797036056,0.14412949797036056
feat_color1_gray,-0.14277156065000624,0.14277156065000624
snacks,-0.14071285493685703,0.14071285493685703
hours,-0.1397587685215663,0.1397587685215663
store_4,0.1364561332404754,0.1364561332404754
store_2,-0.13564470678780619,0.13564470678780619
water,-0.13115681426583123,0.13115681426583123
bc marketplace,-0.13041409014914057,0.13041409014914057
marketplace bc,-0.13041409014914057,0.13041409014914057
marketplace,-0.13041409014914057,0.13041409014914057
washing,0.12995899640757266,0.12995899640757266
www,0.12927076249731995,0.12927076249731995
feat_color1_gold,-0.12665585669647247,0.12665585669647247
feed,-0.12569714574977656,0.12569714574977656
free,0.12531378897944773,0.12531378897944773
wellbeing,0.12495705935050379,0.12495705935050379
wipes,-0.12489841644555376,0.12489841644555376
face,-0.1224298741687648,0.1224298741687648
inside,0.12220877272567615,0.12220877272567615
