Country Name,Country Code,N_Categories,Shannon_Entropy,Diversity_Normalized,Total_Resource_Value,GDP,Resource_Intensity_Pct,Fossil fuels,Base metals,Precious metals,Battery/strategic,Industrial minerals
Algeria,DZA,1,0.0,0.0,20834927280.88301,553588223512.6681,3.7636146138875066,1.0,0.0,0.0,0.0,0.0
Angola,AGO,1,0.0,0.0,14631540338.751793,213574144649.79205,6.850801328383565,1.0,0.0,0.0,0.0,0.0
Argentina,ARG,4,0.6308401181205119,0.3919630035099861,12595634303.683336,992643166060.68,1.2688985059625513,0.7983176441334807,0.05204025332875203,0.1470812152317133,0.002560887306053923,0.0
Australia,AUS,5,1.2329649227058872,0.7660841795637593,53091335879.59864,1278772150161.924,4.151743207175412,0.5186401013281866,0.19503229484038892,0.18352030613989626,0.008214305267982211,0.0945929924235461
Austria,AUT,1,0.0,0.0,251903426.30814815,499399845501.76,0.05044123032418126,0.0,0.0,0.0,0.0,1.0
Azerbaijan,AZE,1,0.0,0.0,9377844639.8543,145766006145.07,6.433492202922286,1.0,0.0,0.0,0.0,0.0
Bahrain,BHR,1,0.0,0.0,1911007000.0,74363601345.90399,2.5698150243032303,0.0,1.0,0.0,0.0,0.0
Bangladesh,BGD,1,0.0,0.0,1605434862.0,959032576525.065,0.16740149409909444,1.0,0.0,0.0,0.0,0.0
Bolivia,BOL,2,0.6866632228130678,0.42664784861104965,2836740897.0,102209350090.974,2.7754221061723685,0.0,0.44312323988749547,0.5568767601125045,0.0,0.0
Brazil,BRA,5,0.6484857610919571,0.40292685793091126,37757808329.73656,3225238863850.563,1.170698045125814,0.8316749707197978,0.0739971380118369,0.05366901548689913,0.005092691374278318,0.03556618440718794
Burkina Faso,BFA,2,0.3294777243561893,0.20471602030170272,1640219250.0,44122246792.096,3.7174427171143662,0.0,0.10201029526997686,0.8979897047300232,0.0,0.0
Canada,CAN,5,0.5746013878190779,0.3570199156984289,81837455087.76126,1863568592106.365,4.391437773442058,0.8311190240070541,0.09946298918106633,0.06830260535357163,0.000982405915650515,0.0001329755426574531
Chile,CHL,3,0.26015592875730836,0.16164396696971722,24379867036.673058,458444488042.51196,5.31795401026008,0.0,0.9333397908106544,0.06261935898598449,0.004040850203361155,0.0
China,CHN,5,0.8920500045846231,0.5542618312224883,280544605764.746,22373296915980.0,1.2539260834837826,0.676605281987089,0.2400182986104722,0.0427633876448876,0.008108179424085886,0.032504852333465395
Colombia,COL,2,0.28135416741770125,0.17481517320055148,13409230364.001389,748612438526.205,1.7912112695322255,0.9189385542276833,0.0,0.08106144577231662,0.0,0.0
"Congo, Dem. Rep.",COD,3,0.9112648619820021,0.5662006933860609,8327262132.2,103791713005.58186,8.023051061650909,0.0,0.6266810002318616,0.14768359401640405,0.2256354057517344,0.0
Cote d'Ivoire,CIV,1,0.0,0.0,928870800.0,136461719286.412,0.6806823223811537,0.0,0.0,1.0,0.0,0.0
Czechia,CZE,1,0.0,0.0,1474706502.4657278,438205796706.81,0.3365328604843647,1.0,0.0,0.0,0.0,0.0
