Variable,A1: RC Contemp._coef,A1: RC Contemp._se,A1: RC Contemp._pval,A2: RC Lag-1_coef,A2: RC Lag-1_se,A2: RC Lag-1_pval,A3: RC + Interact L1_coef,A3: RC + Interact L1_se,A3: RC + Interact L1_pval,A4: Full Structural L1_coef,A4: Full Structural L1_se,A4: Full Structural L1_pval,A5: Dynamic L1_coef,A5: Dynamic L1_se,A5: Dynamic L1_pval
Oil_GDP_Pct,-0.02283563299139183,0.009944694740985546,0.02172964132874844,,,,,,,,,,,,
Natural Gas_GDP_Pct,0.01264816963489037,0.02568701491714362,0.6224759209258592,,,,,,,,,,,,
Coal_GDP_Pct,-0.058110671435892734,0.01614369000403703,0.00032388915400649587,,,,,,,,,,,,
Metals_GDP_Pct,-0.006820562567756116,0.011494866942216533,0.5529869310878328,,,,,,,,,,,,
Human capital index,0.22164570297391198,0.1253070111146734,0.07702554310533749,,,,,,,,,,,,
Rule of law index,0.021487462184134373,0.19680699461243684,0.9130667419653382,,,,,,,,,,,,
Property rights,-0.1471857764663834,0.2889697482315343,0.6105468060423207,,,,,,,,,,,,
Oil_GDP_Pct_L1,,,,-0.019755591580960113,0.009099114616910932,0.03000117388353729,-0.0052268077367686565,0.031835222835090576,0.8695985247204179,-0.018001507062664103,0.008656411430162854,0.03765503149963623,-0.007123236449057998,0.004346300878746109,0.10133978533699683
Natural Gas_GDP_Pct_L1,,,,0.007577485414872396,0.023892259394930837,0.7511511144364935,0.02977583055289696,0.04646191730594198,0.5216614233857699,0.01209280986907567,0.02784015655404171,0.6640556596780884,-0.0003615947834035704,0.009702394500884504,0.9702734261398791
Coal_GDP_Pct_L1,,,,-0.05907611474349112,0.018161707181269953,0.0011560523539146939,-0.03907046120960304,0.042699600162371884,0.3602645580749315,-0.05127517503909712,0.017548272981766852,0.003505745320397935,-0.0280065006271444,0.011121312367590072,0.011847219971617529
Metals_GDP_Pct_L1,,,,-0.0021063206994814863,0.01053309431569124,0.8415168972772067,0.01205631939072786,0.0275649774826292,0.6618700568747353,-0.008822031095056828,0.01158138934248143,0.4462768118682361,0.0015229590387862862,0.0048179374580800734,0.7519481979321743
Human capital index_L1,,,,0.2292434951104958,0.1347294878933163,0.08895575541050516,0.2677153253847261,0.16405164905721437,0.10281109742509864,0.22109106478195628,0.12861810727240539,0.08572752150775198,0.10326876963432827,0.07087592810550315,0.14521599064615298
Rule of law index_L1,,,,-0.042937826489133094,0.18824546076724077,0.8195887376622188,-0.049060880385445316,0.18521826139950315,0.7911198354378444,0.02476655390289276,0.17922080649854868,0.890099854729995,-0.050109162644172485,0.09422261511523729,0.5948941418672979
Property rights_L1,,,,-0.05968442000283663,0.2794750590971333,0.8309061383788898,-0.05400838034251219,0.2782500240333225,0.8461111901746972,-0.14926728576990933,0.2334156745533974,0.5225546271426222,0.03082589625156142,0.13172513097758448,0.8149886295114182
HCI_x_TotalResources_L1,,,,,,,-0.006634273752459885,0.01250440340289085,0.5957682771602135,,,,,,
Manufacturing_L1,,,,,,,,,,0.0133772674052417,0.0040495585679450954,0.0009670035759092865,,,
Agriculture_L1,,,,,,,,,,0.007085343411728437,0.0030583212901781408,0.020588099462592213,,,
Trade (% of GDP)_L1,,,,,,,,,,0.00040806993541228897,0.000852390192234784,0.6321630071925308,,,
"Gross fixed capital formation, all, Constant prices, Percent of GDP_L1",,,,,,,,,,0.002070449245678837,0.002635610953609417,0.43218624296982133,,,
Access to electricity (% of population)_L1,,,,,,,,,,0.005115337619616014,0.002006395249258422,0.010839020426204105,,,
Urban population (% of total population)_L1,,,,,,,,,,1.6359877170107815e-09,4.247176494104019e-10,0.00011975748931858377,,,
Political stability — estimate_L1,,,,,,,,,,0.034642386598976005,0.0265251130515907,0.19165007449092997,,,
Domestic credit to private sector (% of GDP)_L1,,,,,,,,,,0.0006337579741509333,0.0008375581071934608,0.4493078786488036,,,
"Inflation, consumer prices (annual %)_L1",,,,,,,,,,-0.00013298073803674607,5.8123682128953514e-05,0.02221646897748708,,,
ECI_L1,,,,,,,,,,,,,0.5425226499291895,0.051314007407264224,0.0
